www.ainabuben.ru; 0; Религия/Ислам/Буддизм/Общество/Язычество
kupisait24.com; 0; Games/Video_Games/Computers/Top/Programming
tronswag.com; 0; 
tronswag.com; 0; 
active-keys.ru; 0; Игры/Видеомонтаж/Интерфейс/Hi-Tech/Развлечения
fim.top1.pp.ua; 0; Путеводители/Прочее/Туризм/Фотография/Фото стран и городов/Культура/Отдых
arkadiy-kobyakov.com; 0; Скачать музыку/Музыка/Культура
davidgvana.ru; 0; Временная и удаленная работа/Прочее/Бизнес/Деловые услуги/Менеджмент и консалтинг/Работа
doremihost.ru; 0; Справки/Мобильные приложения/Универсальное/Погода/Hi-Tech/Мобильная связь/Культура
www.rahgoshagohestan.ir; 0; 
studylie.ru; 0; Интернет/Курсы/Поисковые системы/Hi-Tech/Повышение квалификации/Работа/Работа для студентов/Учёба
6a51691a-f7cc-4972-a772-c5e4703410b9.htmlcomponentservice.com; 0; 
zelenykh.ru; 0; Создание сайтов/Интернет/Реклама в интернете/Бизнес/Реклама/Hi-Tech
dim-tim.com; 0; Реклама/Реклама в интернете/Бизнес
new-piter-zhk.ru; 0; Бизнес/Базы недвижимости/Агентства недвижимости/Недвижимость
f0226764.xsph.ru; 0; Games/Video_Games/Computers/Top/Programming
gsmart77.ru; 0; Все для офиса/Прочее/Бизнес/Покупки/Дом
lersoft.ru; 0; Business/Education/Health/Computers/Professions/Top/Business_Services
r21media.pro; 0; Music/Business/Arts/Arts_and_Entertainment/Top/Shopping
kashyapyoga.blogspot.com; 0; Arts/Religion_and_Spirituality/Performing_Arts/Asia/Top/Regional/Society
www.bitcoin-masters.club; 0; Arts/Scouting/Performing_Arts/Recreation/Top
stuff24.city; 0; Продажа автомобилей/Справки/Авто/Афиша/Японские авто
bitva; 0; Emulators/Games/Video_Games/Computers/Top/Programming
niyaz.zzz.com.ua; 0; Справки/Спорт/Энциклопедии/Соревнования
an-olimp.com; 20; Недвижимость/Жилищное строительство/Бизнес/Строительство/Ипотека/Недвижимость от застройщиков
www.vyzov.biz; 0; Отдых/Спорт/Зимние виды спорта/Виндсерфинг и кайтинг/Горные лыжи, сноуборд/Туризм/Экстремальный спорт/Спортивный туризм
ed-script.pro; 0; Создание сайтов/Интернет/Универсальное/Программы/Софт/Hi-Tech/Культура
ssov.local; 0; Top/Games/Video_Games/Computers/Emulators/Programming
xn--196-5cdaahhb8bc8a8cb8bnt.xn--p1ai; 0; Справки/Авиационный транспорт/Транспорт
